comment,date,author
Harika bir video olmuş, çok faydalı bilgiler var.,2024-04-30,Ahmet Y.
Bu içerik tam da aradığım şeydi, teşekkürler!,2024-04-29,Ayşe K.
Çok güzel anlatmışsınız, devamını bekliyorum.,2024-04-28,Mehmet S.
Biraz daha detaylı anlatabilir misiniz?,2024-04-27,Zeynep A.
Mükemmel bir video, herkese tavsiye ederim.,2024-04-26,Can B.
Bazı kısımları anlamakta zorlandım.,2024-04-25,Deniz Y.
Çok yararlı bir içerik, teşekkürler.,2024-04-24,Emre T.
Daha iyi olabilirdi, bazı konular eksik kalmış.,2024-04-23,Selin M.
Harika bir anlatım, çok beğendim.,2024-04-22,Onur K.
Biraz daha hızlı konuşabilirsiniz.,2024-04-21,Elif S.
Çok faydalı bir video, teşekkürler.,2024-04-20,Burak A.
Bazı kısımları tekrar izlemem gerekti.,2024-04-19,Gizem Y.
Mükemmel bir anlatım, devamını bekliyorum.,2024-04-18,Kerem T.
Daha fazla örnek verebilirsiniz.,2024-04-17,Aslı M.
Harika bir içerik, çok beğendim.,2024-04-16,Serkan K.
Bazı konuları daha detaylı anlatabilirsiniz.,2024-04-15,Pınar S.
Çok yararlı bilgiler, teşekkürler.,2024-04-14,Volkan A.
Daha iyi olabilirdi, bazı kısımlar karışık.,2024-04-13,Seda Y.
Mükemmel bir video, herkese tavsiye ederim.,2024-04-12,Tolga T.
Biraz daha yavaş anlatabilirsiniz.,2024-04-11,İrem M.
Harika bir anlatım, çok beğendim.,2024-04-10,Özgür K.
Bazı kısımları anlamakta zorlandım.,2024-04-09,Melis S.
Çok faydalı bir içerik, teşekkürler.,2024-04-08,Barış A.
Daha fazla örnek verebilirsiniz.,2024-04-07,Esra Y.
Mükemmel bir video, devamını bekliyorum.,2024-04-06,Utku T.
Biraz daha detaylı anlatabilir misiniz?,2024-04-05,Zehra M.
Harika bir içerik, çok beğendim.,2024-04-04,Alper K.
Bazı konuları daha detaylı anlatabilirsiniz.,2024-04-03,Buse S.
Çok yararlı bilgiler, teşekkürler.,2024-04-02,Cem A.
Daha iyi olabilirdi, bazı kısımlar karışık.,2024-04-01,Derya Y. 